                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.3924,                 0.6859,                 1.4015,                0.96825,                0.95147,                 0.9762,                0.57952,                 1.4292,                0.56195,                 1.5011,               0.006535,               0.006535,               0.006535
                     37,                 1.3785,                0.66759,                 1.3869,                 0.9633,                0.96239,                0.97599,                0.58357,                  1.422,                 0.5579,                 1.4947,               0.006436,               0.006436,               0.006436
                     38,                 1.3571,                 0.6625,                 1.3711,                0.96849,                0.96127,                0.97971,                0.58858,                  1.403,                0.53334,                 1.4826,               0.006337,               0.006337,               0.006337
                     39,                 1.3498,                0.64881,                 1.3653,                0.96971,                0.96441,                0.97973,                0.59773,                 1.3895,                0.52616,                  1.478,               0.006238,               0.006238,               0.006238
                     40,                 1.3341,                0.64049,                 1.3608,                0.96977,                0.96118,                0.97795,                0.60263,                 1.3739,                0.52534,                 1.4692,               0.006139,               0.006139,               0.006139
                     41,                 1.3194,                0.63114,                  1.352,                0.96956,                0.96298,                0.98082,                 0.6054,                 1.3621,                0.51498,                 1.4614,                0.00604,                0.00604,                0.00604
                     42,                 1.3047,                0.61812,                 1.3412,                0.97376,                0.96118,                0.98187,                0.61137,                 1.3409,                0.51003,                 1.4386,               0.005941,               0.005941,               0.005941
                     43,                 1.2821,                0.61117,                  1.328,                0.97324,                0.96743,                0.98252,                0.61266,                 1.3437,                0.49683,                 1.4431,               0.005842,               0.005842,               0.005842
                     44,                 1.2675,                0.59528,                 1.3101,                0.97319,                0.96562,                0.98104,                0.61613,                 1.3292,                0.49477,                 1.4314,               0.005743,               0.005743,               0.005743
                     45,                 1.2637,                 0.5948,                 1.3087,                0.97478,                0.97253,                0.98346,                0.62243,                 1.3058,                0.48158,                 1.4166,               0.005644,               0.005644,               0.005644
                     46,                 1.2375,                 0.5874,                 1.3016,                0.97294,                0.96945,                  0.981,                0.63074,                 1.2932,                0.47664,                  1.415,               0.005545,               0.005545,               0.005545
                     47,                 1.2432,                0.57622,                 1.3008,                0.97857,                0.96837,                0.98176,                0.63239,                 1.2875,                0.47308,                 1.4097,               0.005446,               0.005446,               0.005446
                     48,                 1.2228,                0.57002,                 1.2888,                0.97843,                0.96837,                0.98324,                0.63908,                 1.2651,                0.46321,                 1.3988,               0.005347,               0.005347,               0.005347
